Nom,Popularitat,Artista,Artistes,Data,uri
RESO PER NOSALTRES,40,31 FAM,31 FAM,2005-02-05,1Gg5htTiYcazADuLmF0kS5
INSEPARABLES,40,31 FAM,31 FAM,2005-02-05,5t9fHsSi5cjWE8AI6kq8Dv
Des del Dia 1,40,31 FAM,31 FAM,2005-02-05,6yRnR48uZsR6fBFH0KTDJt
tres cases,40,31 FAM,"31 FAM, el kid",2005-02-05,23zvuCXMsmr9sniEq28XHQ
L'Eva i la Jana,40,Ginestà,Ginestà,2005-02-05,0TvbW6a2deoJ9jNdbVCQqQ
Tot el que ens queda - Remix,40,Ginestà,"Ginestà, Arnny Montana, Mon DJ",2005-02-05,04InIfb1498loa2kzCVqan
Agur Agur,40,Ginestà,"BULEGO, Ginestà",2005-02-05,6tlkVsRGGX39Bpqn9YVEiO
Teresa Rampell,40,Manel,Manel,2005-02-05,4CkF2DeTV5JAggq5113vUK
Creuant Tempestes,40,Doctor Prats,Doctor Prats,2005-02-05,4L0s3OAX2UhCq5SYYdCM7U
Una altra manera de viure - Estrella Damm 2019,40,Joan Dausà,"Joan Dausà, Maria Rodés, Santi Balmes",2005-02-05,7kkPyhcaiVvYyYDcjIypOJ
Si Et Quedes amb Mi,40,Sopa de Cabra,Sopa De Cabra,2010-03-01,6z8oPcLH9Wyd7X5TRq8Vt2
La Castanyera,40,Dàmaris Gelabert,Dàmaris Gelabert,2010-11-01,4RoKAxuAJy3gEsf6v24s6a
Avui l’únic que vull,40,Pau Vallvé,Pau Vallvé,2017-01-20,7ivvCLw3vJ27Bab0lNXOGG
No Ho Entens,40,Els Amics de les Arts,Els Amics De Les Arts,2017-02-24,0pdq1XgGGp0lxB7IDkclsP
Ítaca,40,Lildami,"Els Catarres, Lildami, Roba Estesa, Oques Grasses, Valtonyc, Pavvla, Suu, Marc Parrot, Guillem Roma, Judit Neddermann",2019-04-19,385tloLBduDnYVSCCmQQqX
S'ha mort l'home més vell d'Espolla,40,La Ludwig Band,La Ludwig Band,2021-06-25,77DgqIkA4zS1gEix4XXEPr
Hora Blava,40,Esther,"La Fúmiga, ESTHER",2021-11-05,6jVsytBl4Ett3dRrTUYlRE
A Poc a Poc,40,Doctor Prats,Doctor Prats,2022-04-29,7MNRD8c63DKT51LiofspxA
Me desplom,40,Maria Jaume,Maria Jaume,2022-05-13,6KWWMpx77b6UT8RLNHziBt
Amor del Bo,40,Rozalén,"Rozalén, Sílvia Pérez Cruz",2022-11-11,1NnS6dLeFEervQQVNEDn7D
Coco,40,Flashy Ice Cream,"The Tyets, Flashy Ice Cream",2023-03-03,6xUY4PmXfu053LRmWRIcaD
Citant Mercè Rodoreda,40,Els Amics de les Arts,Els Amics De Les Arts,2023-03-10,1wEFaZd3zgOyWmyFDqIJXm
En peu de guerra,40,Xavi Sarrià,"Els Catarres, Xavi Sarrià, Smoking Souls, La Fúmiga, El Diluvi, La Gossa Sorda",2023-11-17,3ygm5eu3ZMo2rCQWd0outQ
Per Nosaltres i els de Dalt,40,Joan Dausà,Joan Dausà,2023-11-21,5HU45C3HIO8c52dvM6wyuf
Ressaca a sa platja,40,Maria Jaume,Maria Jaume,2024-03-15,6TMsPIBih5mb6phJiRZ4ee
El Gall Ot,40,El Pot Petit,El Pot Petit,2024-10-22,5Vjn6dIrvia5LIdCu7MdyG
Ens hem guanyat l'estiu,40,Pau Vallvé,Pau Vallvé,2024-10-25,17aTo7cYCBNyYEfTkpoH9c
Un sentiment (cant finalista del 125è aniversari del Barça),40,FC Barcelona,"FC Barcelona, Gemma Planella, Noemi Gallardo, Iago Garcia, Xavi Benítez, Galdric Plana, Bruna Dinarès, Xavier Solà, Dracs 1991",2024-11-14,6Hniabo0C49IlbkVCb2yzr
